,img_name,img_path,object_path
0,000005.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000005.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000005.npy
1,000007.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000007.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000007.npy
2,000009.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000009.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000009.npy
3,000012.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000012.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000012.npy
4,000016.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000016.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000016.npy
5,000017.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000017.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000017.npy
6,000019.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000019.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000019.npy
7,000020.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000020.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000020.npy
8,000021.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000021.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000021.npy
9,000023.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000023.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000023.npy
10,000024.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000024.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000024.npy
11,000026.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000026.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000026.npy
12,000030.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000030.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000030.npy
13,000032.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000032.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000032.npy
14,000033.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000033.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000033.npy
15,000034.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000034.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000034.npy
16,000035.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000035.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000035.npy
17,000036.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000036.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000036.npy
18,000039.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000039.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000039.npy
19,000041.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000041.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000041.npy
20,000042.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000042.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000042.npy
21,000044.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000044.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000044.npy
22,000046.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000046.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000046.npy
23,000047.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000047.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000047.npy
24,000048.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000048.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000048.npy
25,000050.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000050.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000050.npy
26,000051.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000051.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000051.npy
27,000052.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000052.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000052.npy
28,000060.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000060.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000060.npy
29,000061.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000061.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000061.npy
30,000063.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000063.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000063.npy
31,000064.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000064.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000064.npy
32,000065.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000065.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000065.npy
33,000066.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000066.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000066.npy
34,000072.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000072.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000072.npy
35,000073.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000073.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000073.npy
36,000077.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000077.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000077.npy
37,000078.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000078.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000078.npy
38,000081.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000081.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000081.npy
39,000083.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000083.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000083.npy
40,000089.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000089.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000089.npy
41,000091.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000091.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000091.npy
42,000093.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000093.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000093.npy
43,000095.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000095.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000095.npy
44,000099.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000099.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000099.npy
45,000101.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000101.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000101.npy
46,000102.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000102.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000102.npy
47,000104.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000104.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000104.npy
48,000107.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000107.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000107.npy
49,000109.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000109.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000109.npy
50,000110.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000110.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000110.npy
51,000112.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000112.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000112.npy
52,000113.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000113.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000113.npy
53,000117.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000117.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000117.npy
54,000118.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000118.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000118.npy
55,000120.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000120.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000120.npy
56,000121.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000121.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000121.npy
57,000122.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000122.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000122.npy
58,000123.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000123.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000123.npy
59,000125.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000125.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000125.npy
60,000129.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000129.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000129.npy
61,000130.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000130.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000130.npy
62,000131.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000131.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000131.npy
63,000132.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000132.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000132.npy
64,000133.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000133.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000133.npy
65,000134.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000134.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000134.npy
66,000138.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000138.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000138.npy
67,000140.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000140.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000140.npy
68,000141.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000141.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000141.npy
69,000142.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000142.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000142.npy
70,000143.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000143.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000143.npy
71,000146.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000146.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000146.npy
72,000147.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000147.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000147.npy
73,000150.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000150.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000150.npy
74,000153.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000153.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000153.npy
75,000154.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000154.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000154.npy
76,000156.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000156.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000156.npy
77,000158.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000158.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000158.npy
78,000159.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000159.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000159.npy
79,000161.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000161.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000161.npy
80,000162.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000162.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000162.npy
81,000163.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000163.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000163.npy
82,000164.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000164.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000164.npy
83,000165.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000165.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000165.npy
84,000169.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000169.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000169.npy
85,000170.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000170.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000170.npy
86,000171.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000171.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000171.npy
87,000173.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000173.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000173.npy
88,000174.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000174.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000174.npy
89,000177.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000177.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000177.npy
90,000180.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000180.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000180.npy
91,000184.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000184.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000184.npy
92,000187.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000187.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000187.npy
93,000189.jpg,F:\VOCdevkit\VOC2007\JPEGImages\000189.jpg,F:\VOCdevkit\VOC2007\Annotations_array/000189.npy
